,x
1771,1.95
1772,0
1773,0.5
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,-0.25
1782,0
1783,0
1784,0
1785,0
1786,-0.75
1787,0
1788,0
1789,-0.5
1790,-0.5
1791,0
1792,1.05
1793,-2.5
1794,0.5
1795,0.25
1796,0
1797,-1.5
1798,0
1799,0
1800,0
1801,0.8
1802,-2.75
1803,0.6
1804,1.05
1805,0.5
1806,0
1807,0.5
1808,-0.25
1809,-0.15
1810,0.15
1811,-0.35
1812,0
1813,0.6
1814,0
1815,-0.85
1816,-0.4
1817,0
1818,-1
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0.25
1831,0
1832,-0.25
1833,0.4
1834,0
1835,-1.25
1836,-0.1
1837,0
1838,0
1839,-0.75
1840,0
1841,0
1842,0
1843,0.9
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0.05
1851,0
1852,0
1853,0
1854,0.5
1855,0
1856,0
1857,0
1858,0
1859,-0.25
1860,0
1861,0
1862,0
1863,0
1864,-0.75
1865,0
1866,-0.15
1867,-1
1868,-2.25
1869,0.6
1870,0.6
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,-0.75
1878,-0.5
1879,0
1880,0
1881,0.25
1882,-0.3
1883,0
1884,0
1885,-0.75
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,-0.4
1900,0
1901,0
1902,0
1903,2.3
1904,0
1905,0
1906,0
1907,-0.9
1908,-2.25
1909,0
1910,2.3
1911,0
1912,0
1913,0
1914,-0.9
1915,0
1916,0
1917,0
1918,0.5
1919,0.25
1920,0.75
1921,0.5
1922,0
1923,0.45
1924,0.25
1925,1.05
1926,0
1927,0
1928,0
1929,0
1930,0
1931,-0.4
1932,1.4
1933,0
1934,0
1935,0
1936,0
1937,0
1938,-0.75
1939,-3.15
1940,0
1941,0.75
1942,0
1943,0
1944,0
1945,0
1946,-0.25
1947,-1.2
1948,-1.75
1949,0
1950,-0.5
1951,-1.25
1952,0.6
1953,0
1954,0
1955,-0.35
1956,0
1957,-0.25
1958,0
1959,0.8
1960,0
1961,0
1962,0
1963,0
1964,-0.75
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,-0.25
1979,0.3
1980,0
1981,-0.5
1982,-0.75
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,-0.6
1997,-1.5
1998,0.6
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,-1.25
2006,0
2007,0.8
2008,0.4
2009,0.75
2010,0
2011,0
2012,0
2013,1.25
2014,0
2015,0
2016,-1
2017,-0.2
2018,0.75
2019,0.5
2020,-0.25
2021,0
2022,0.25
2023,0
2024,0
2025,0.85
2026,-0.75
2027,0
2028,0
2029,0.5
2030,-0.25
2031,0
2032,-0.25
2033,0
2034,0
2035,0.8
2036,-0.45
2037,0.5
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,-0.6
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,1
2055,0
2056,0
2057,-0.1
2058,-0.5
2059,0
2060,-0.75
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0.3
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,-0.15
2076,-0.8
2077,0
2078,0
2079,0
2080,0
2081,-1
2082,0
2083,0
2084,-0.4
2085,0
2086,0.25
2087,0
2088,1
2089,0
2090,0
2091,0
2092,0
2093,0
2094,-0.15
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,-1.5
2111,0.5
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,-0.5
2119,0
2120,0
2121,0
2122,1.1
2123,0
2124,0
2125,1
2126,0
2127,0
2128,0
2129,-0.5
2130,-0.5
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,2.35
2142,0
2143,-3.65
2144,0.5
2145,0
2146,0
2147,0
2148,0
2149,0
2150,-2
2151,0.3
2152,0
2153,0
2154,0
2155,0.4
2156,-0.25
2157,0.25
2158,0
2159,0
2160,-0.25
2161,0
2162,-0.25
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0.25
2173,0
2174,-0.5
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0.35
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0.1
2189,-0.5
2190,0
2191,0
